DATE,STAR,LIKE,REVIEW
20210303,별표 5개 만점에 1개를 받았습니다.,31,"참여하고 있는 음식점인데요, 개인의 주관적이고 악의적이고 의도적인 불순한 목적으로 거짓된 리뷰를 올리는 손님이 극히 드물게 있고 피해를 보고 있습니다. 객관적인 대응을 할수 있어야되는데 원천적으로 답변을 달수 없는 시스템입니다. 콜센타에 문제점을 제기해도 개선이 되지 않습니다. 음식 제공하는 업소도 엄연히 쿠팡의 고객입니다. 주문손님만 고객이 아닙니다. 쿠팡도 손님도 업소도 더불어 발전하기 위해서, 업소의 답변도 달수 있도록 해야합니다. 이대로는 업소도 이탈할꺼고 결국 쿠팡은 성공하지 못할겁니다! 배달의 민족을 배우세요!"
20210402,별표 5개 만점에 1개를 받았습니다.,13,1인분 13000 원 메뉴하나 여기서 팔면 배달비 5000원에 수수료 1000원에 결제 수수료330 원 빠지면 재료비 4000원 빠지면 진짜 남는게 2670 원인데 안쓸수도 없고 프로모션 기간 끝나면 13000 원짜리는 수수료15 프로(1950 원) 대행비 6000 원 결제 수수료 330원 빠지면 720 원 버는데 게다가 도저히 안될거 같아서 팁 2 천원 받으니깐 주문이 안들어와서 어쩔수 없이 배달팁 1천원 받는데 니들이 시장가 조지는 원흉이다 코로나 때문에 다힘든데 자영업자랑 소비자 둘다 조지는 상술은 적당히 해라 배달이 빠르면 모르겠는데 도대체 왜이딴식인지참
20210517,별표 5개 만점에 4개를 받았습니다.,3,영업환경에따라변화되는매장정보를 수시로고객에게전달될수없음 (고객센타에전화해서변경하는것이 불편힘 연결지연 내용설명등)
20210522,별표 5개 만점에 1개를 받았습니다.,2,주소를 볼수 없는걸 아는걸 악용해 온갖 쓰레기고객들도 말리지만 대처를 못함ㅋㅋ 궁여지책으로 하나 정말 개같은 배달어플이라고 생각함ㅋㅋ 고객한테 2500떼가고 5000원 배달비 넘어도 다 떼가면서 업소에게는 왜 뜯어가는지 이해가 안감 라이더도20분잡히고 취소하면 20분 잡히고 무한반복
20210304,별표 5개 만점에 1개를 받았습니다.,13,어떤기사님 그냥음식만 문앞에 두고가서 고객님 전화와서 확인하니 음식 식어 있다고 전화온 일이 있었어요~~ 쿠팡기사님들 교육이 잘안되거 같아요~~
20210430,별표 5개 만점에 1개를 받았습니다.,3,딴건 모르겠고 진짜 배정좀 빨리잡혀라 난 준비 다해놨는데 가게는 바쁜데 음식은 안가져가고 그러다 늦어서 음식 식으면 내가 욕이란 욕은 다먹고 리뷰써놓으면 우린 거기에 답도 못달아 놓게 하고 개선좀 하라고 제발 돈 쳐가져가는만큼
20210402,별표 5개 만점에 1개를 받았습니다.,5,예상 조리시간 5~10분 해놓고 4분에 조리완료 누르면 평점깍이는거 개선되었는지 모르겠네요. PC와 앱 딜레이는 여전한것 같고
20210421,별표 5개 만점에 1개를 받았습니다.,3,메뉴 추가 메뉴 사진 전혀 사용자를 베려하지 않은 어플!!!! 먼저 하고 있는 어플들 쫌 보고 배우세요!!
20210326,별표 5개 만점에 1개를 받았습니다.,26,ㅋㅋㅋㅋㅋㅋ한개 배달이 빠르다고요? 기사 잡히는데 30분 배달 가는데 30분 ㅋㅋㅋ 가다가 식는데 뭐가 빠르다는건지 ~ 수수료를 그렇게 받으시면서요
20210403,별표 5개 만점에 1개를 받았습니다.,7,1점도 아깝죠 수수료에 기사님 배달료에 부가세에 솔직히 백화점 유통보다 많이 가져가는데는 처음임 결국 피해는 음식시켜먹는 사람만 호구되서 배달업 다 망할거임
20210704,별표 5개 만점에 1개를 받았습니다.,1,고객센터 통화되려면 20분걸림
20210331,별표 5개 만점에 1개를 받았습니다.,14,개판입니다... 갈비찜집을 운영 하는데 갈비찜이라검색하면 맨 하단에뜨고 삼겹살 심지어 아구찜이 상단에노출 됩니다 장사를하라는건지마라는건지
