DATE,STAR,LIKE,REVIEW
20210808,별표 5개 만점에 1개를 받았습니다.,47,배달파트너가 콜 들어오면 선택해서 갈 수 있도록하면 정말 좋을 것 같소. 그러면 대박날 것이오. 이건 뭐 강제 배정에 거절하면 평점 깎여 배달도 못하게 하니. 그리고 왜 자꾸 내가 선택한 구역이 아닌 다른 곳에 콜이 들어오는지 이해가 안가네.
20210804,별표 5개 만점에 1개를 받았습니다.,7,"실시간 요금제로 바뀐이후, 강남에서 뛰고 있는데 두시간 중 한시간이 주문이 안들어와서 가만히 앉아있었음. 요새 최저임금도 못번다 두시간에 만원이 뭐냐.."
20210727,별표 5개 만점에 1개를 받았습니다.,13,지도에서 기본요금 뜨는거 예전처럼 다시 바꿔주세요. 엄청 멀리 가야 붙을만한 추가요금까지 합쳐 놓으니깐 매번 지역별 주문현황에서 기본단가 확인하기 불편합니다.
20210806,별표 5개 만점에 1개를 받았습니다.,13,"왜 앱이 제 폰의 알림을 강제로 작동하게 하나요? 배차알림을 아무리 꺼놔도 소리+후레쉬+진동 까지 모든 알림이 강제로 작동하는데 개발자는 무슨 의도인가요? 엘레베이터나 공공장소에서 온갖 소음으로 주변 사람들에게 피해를 주는데요. 후레쉬가 계속 켜져서 휴대폰이 뜨거워지고, 큰소리와 진동 알림이 수없이 작동해서 밧데리 효율도 떨어지는구요. 사용자의 환경에 맞게 시스템 사용 설정할 권리는 없는건가요?"
20210809,별표 5개 만점에 1개를 받았습니다.,39,이벤트시간대에.. 건당 배달비가 모.. 7천원에서 16000원이라고 하는데.. 보통 10km 정도에는 만원이나 12000원 최고금액으로 확인되나 도대체 16000원은 16km쯤 되야하나요~~? 그럼 피크타임땐 그만큼 차도 밀리는데.. 가까운거리 여러번 해달하는게 낫지.. 그게 무슨 이벤트 인가요? 그리고 예전처럼 최저 기본금액으로 확인하수 잇도록 하지않고 대체 기본거리는 몇인지 그리고 거리 추가시 할증되는 금액은 얼마인지 왜 공지도 없이 알수가 없게 금액책정을 하는지.. 이것도 갑질아닌가요~~? 참. 서글프네요
20210809,별표 5개 만점에 1개를 받았습니다.,4,조리시간이나왔으면좋겠습니다 너무나오래기달려서 가끔은 짜증이납니다...그리고 단가 가지고 장난좀 치지말아주세요 작지만 저희에겐 소중한 돈입니다
20210728,별표 5개 만점에 1개를 받았습니다.,7,아니 적어도 로그인은 할수있게 해줘야지 이름을 올바르게 입력하라 그러고 입력란은 수정불가고 관리자에게 문의하라해서 메일 보냈는데 메일은 차단되어있고 장난하십니까?
20210804,별표 5개 만점에 3개를 받았습니다.,10,얼마전부터 다른지역으로 위치정보 오류가 심하네요. 살고 있지도 않은곳에서 위치 정보로 콜이 와요.벌써 몇번째 인지 모르겠어요. 폰을 재부팅해도 자주 발생하는데 통신 문제인지 알수가 없네요. 콜을 거절 할수 밖에 없는데 평점은 계속 내려가네요.~~
20210729,별표 5개 만점에 1개를 받았습니다.,37,"쿠팡평점 2점영.뮌가문제있으니 그런거지? 쫌 파트너라며 파트너 처우개선해줘야조.리뷰는 그냥 닶글없이 씹고 그러면안되고 고칠건고쳐야함다 픽업지에서 픽업지에서 25분기다린적있음, 배정받고바로출발7,8분걸림,도착하니 시간 남 았다고,,,10분지나니촘더 기다리라고,, 주방 혼자계속 만들어내는데이제나저제나 내꺼겠지,,파트너센타 전화하고,,주문35분찍어바로배정하고 가서25분기다리고,,미리정도시간얘기했음 취소라도 하지,, 내가얼버리했던건지 가게직원이 어리버리한건지,, 가까운곳찾는중 이라며, 6키로 떨어진곳이 뜨고,,, 3.8키로이동했는데기본2500원,헐, 픽업지까지1.9, 배달지까지1.9키로 이런뭐같은, 어제는새벽두시간동안2500윌짜리 하나 배정받음,,각성해야죠,다떠납니다,카톡에서도 준비하고 있어요,,,,,,,, 도로를 기준으로 거리책정 요망' 드론으로 배달하는것도 날아서도아닌데 어찌 기준이없네요 ㆍ"
20210805,별표 5개 만점에 2개를 받았습니다.,4,"콜 잡혔을 때 거리 좀 보게 해주세요, 현위치 밖에있는 경우에 거리계산이 안되서 잡고보면 말도 안되게 거리가 먼 경우가 있어요"
20210729,별표 5개 만점에 1개를 받았습니다.,7,"쿠팡완전 짜증나요,ㅠㅠ 아니 타지역을계속보내면 어떡하라구요,거절을누름 배달점수가 떨어지구,ㅠㅠ미치구 환장하긋네요,ㅠ"
20210802,별표 5개 만점에 1개를 받았습니다.,6,문자로 보너스미션이라며 3건이상 배달시 만원지급한다고 해놓고 왜 미션도안뜨고 3건이상 배달해도 만원추가지급도 안해줄까요 이용자를 가지고 노는건가요??
20210809,별표 5개 만점에 1개를 받았습니다.,40,"라이더 도착하면 조리시작하는 가게, 음식 나오지도 않았는데 조리완료 누르는가게 패널티좀 강력하게 해라 좀ㅡㅡ 그래야 꼼수안부리지 가서 허탕치기 일수야 피크타임땐 더 심해"
20210814,별표 5개 만점에 3개를 받았습니다.,3,하면할수록 콜 뜨는 양이 줄어듬 계속 기달리면서 하는데 슬슬 콜이 안뜨는 면에서 업그레이드 또는 개선이 필요할거 같아요 진심으로 좀더 잘뜰수 있게 개선필요합니다
20210814,별표 5개 만점에 1개를 받았습니다.,4,예전처럼 기본금액표시 바꿔주세요 오히려 할증금액표함이라는 생각때문에 실제 기본금액보다 더낮을거라는 생각에 아예 보지도 않게되네요. 말도안되는 픽업거리좀 고쳐주시구요...
20210811,별표 5개 만점에 2개를 받았습니다.,2,"배달완료 사진촬영 안되고, app에서 지도 검색이 연동이 안됩니다. 전체적으로app 업그레이드 부탁드립니다"
